Id Igreja,Nome Igreja,Status Igreja,Score,Algum gestor resp. eventos,Nível,Nível (Cor)
2.939,Igreja Batista Urbana,publicado,92,Sim,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png
2.532,Lagoinha Matriz,publicado,90,Sim,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png
416,Igreja Batista Unida da Graça,publicado,88,Sim,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png
2.434,Lagoinha Americana,publicado,88,Não,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png
2.739,Lagoinha Sorriso,publicado,88,Sim,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png
465,Crossbridge Miami Springs,publicado,87,Não,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png
3.409,Lagoinha Uberlândia,entregue,87,Sim,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png
2.811,Lagoinha Colombia,publicado,85,Sim,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png
3.044,Ad Columbus,entregue,85,Sim,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png
3.247,IAAP - CAJAMAR,entregue,85,Não,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png
602,The City Church - Church of God in Christ,publicado,82,Sim,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png
898,Revelation Church,publicado,82,Sim,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png
2.938,IBEC SEDE,publicado,82,Sim,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png
3.084,Inpeace Leader,publicado,82,Não,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png
490,Igreja do Evangelho Quadrangular Morumbi Piracicaba,publicado,80,Sim,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png
2.351,Lagoinha Colorado,publicado,80,Sim,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png
3.461,Lagoinha Denver,entregue,79,Não,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png
321,Pleno Louvor Church,publicado,77,Sim,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png
2.474,Lagoinha Morumbi,publicado,77,Sim,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png
